6766: ('LOAD_FAST', 'LOAD_FAST')
6340: ('STORE_FAST', 'LOAD_FAST')
6037: ('LOAD_GLOBAL', 'LOAD_FAST')
4934: ('POP_JUMP_IF_FALSE', 'LOAD_FAST')
4909: ('LOAD_FAST', 'LOAD_ATTR')
4904: ('LOAD_CONST', 'LOAD_CONST')
4778: ('LOAD_FAST', 'LOAD_CONST')
4408: ('FOR_ITER', 'STORE_FAST')
4178: ('JUMP_ABSOLUTE', 'FOR_ITER')
4172: ('LOAD_FAST', 'LOAD_METHOD')
4028: ('<0>', 'LOAD_GLOBAL')
3030: ('LOAD_GLOBAL', 'LOAD_ATTR')
2904: ('LOAD_METHOD', 'LOAD_FAST')
2842: ('LOAD_CONST', 'RETURN_VALUE')
2791: ('LOAD_GLOBAL', 'LOAD_METHOD')
2735: ('LOAD_ATTR', 'LOAD_FAST')
2646: ('LOAD_FAST', 'CALL_FUNCTION')
2484: ('LOAD_CONST', 'MAKE_FUNCTION')
2472: ('LOAD_FAST', 'CALL_METHOD')
2426: ('LOAD_CONST', 'IS_OP')
2310: ('IS_OP', 'POP_JUMP_IF_FALSE')
2255: ('COMPARE_OP', 'POP_JUMP_IF_FALSE')
2245: ('LIST_APPEND', 'JUMP_ABSOLUTE')
2120: ('LOAD_FAST', 'STORE_ATTR')
2092: ('LOAD_FAST', 'LOAD_GLOBAL')
2054: ('LOAD_CONST', 'LOAD_FAST')
2054: ('LOAD_FAST', 'POP_JUMP_IF_FALSE')
1990: ('POP_JUMP_IF_FALSE', 'LOAD_GLOBAL')
1954: ('STORE_FAST', 'LOAD_GLOBAL')
1918: ('LOAD_METHOD', 'CALL_METHOD')
1900: ('LOAD_ATTR', 'LOAD_CONST')
1856: ('LOAD_METHOD', 'LOAD_GLOBAL')
1806: ('POP_BLOCK', 'JUMP_FORWARD')
1793: ('<0>', 'LOAD_FAST')
1744: ('LOAD_GLOBAL', 'CALL_METHOD')
1733: ('CALL_FUNCTION', 'STORE_FAST')
1705: ('STORE_NAME', 'LOAD_CONST')
1696: ('STORE_FAST', 'STORE_FAST')
1662: ('CALL_METHOD', 'LIST_APPEND')
1607: ('UNPACK_SEQUENCE', 'STORE_FAST')
1571: ('POP_JUMP_IF_FALSE', 'LOAD_CONST')
1568: ('LOAD_CONST', 'COMPARE_OP')
1568: ('CALL_METHOD', 'POP_TOP')
1520: ('POP_JUMP_IF_FALSE', 'FOR_ITER')
1517: ('STORE_FAST', 'POP_BLOCK')
1497: ('CONTAINS_OP', 'POP_JUMP_IF_FALSE')
1489: ('LOAD_FAST', 'BINARY_ADD')
1488: ('CALL_METHOD', 'STORE_FAST')
1454: ('FOR_ITER', 'UNPACK_SEQUENCE')
1436: ('LOAD_FAST', 'COMPARE_OP')
1423: ('SETUP_FINALLY', 'LOAD_GLOBAL')
1367: ('CALL_FUNCTION', 'POP_JUMP_IF_FALSE')
1364: ('JUMP_FORWARD', 'LOAD_FAST')
1330: ('LOAD_METHOD', 'LOAD_CONST')
1321: ('LOAD_GLOBAL', 'CALL_FUNCTION')
1199: ('CALL_METHOD', 'RETURN_VALUE')
1143: ('LOAD_ATTR', 'LOAD_ATTR')
1134: ('MAKE_FUNCTION', 'STORE_NAME')
1124: ('LOAD_CONST', 'CALL_FUNCTION')
