3501976: ('LOAD_FAST', 'LOAD_FAST')
2775266: ('LOAD_FAST', 'LOAD_ATTR')
2578724: ('POP_JUMP_IF_FALSE', 'LOAD_FAST')
2429593: ('LOAD_GLOBAL', 'LOAD_FAST')
2271383: ('LOAD_FAST', 'LOAD_CONST')
2203499: ('STORE_FAST', 'LOAD_FAST')
1767794: ('FOR_ITER', 'STORE_FAST')
1754201: ('JUMP_ABSOLUTE', 'FOR_ITER')
1741264: ('LOAD_METHOD', 'LOAD_FAST')
1543304: ('LOAD_FAST', 'CALL_FUNCTION')
1523842: ('<0>', 'LOAD_FAST')
1455520: ('LOAD_FAST', 'CALL_METHOD')
1300344: ('COMPARE_OP', 'POP_JUMP_IF_FALSE')
1211718: ('STORE_FAST', 'LOAD_GLOBAL')
1193097: ('LOAD_FAST', 'LOAD_METHOD')
1164278: ('LOAD_GLOBAL', 'LOAD_METHOD')
1107500: ('LOAD_CONST', 'COMPARE_OP')
1031180: ('POP_JUMP_IF_FALSE', 'LOAD_GLOBAL')
975510: ('LOAD_FAST', 'LOAD_GLOBAL')
952037: ('<0>', 'LOAD_GLOBAL')
936291: ('LOAD_CONST', 'IS_OP')
930265: ('IS_OP', 'POP_JUMP_IF_FALSE')
845102: ('LOAD_FAST', 'STORE_ATTR')
802824: ('LOAD_CONST', 'LOAD_FAST')
798288: ('CONTAINS_OP', 'POP_JUMP_IF_FALSE')
735466: ('LOAD_CONST', 'RETURN_VALUE')
716012: ('CALL_METHOD', 'STORE_FAST')
679755: ('LOAD_FAST', 'GET_ITER')
678357: ('LOAD_METHOD', 'CALL_METHOD')
676830: ('LOAD_ATTR', 'LOAD_FAST')
672277: ('CALL_FUNCTION', 'STORE_FAST')
668501: ('POP_TOP', 'JUMP_ABSOLUTE')
651998: ('LOAD_FAST', 'RETURN_VALUE')
611027: ('GET_ITER', 'FOR_ITER')
592418: ('LOAD_ATTR', 'LOAD_CONST')
546295: ('SETUP_FINALLY', 'LOAD_FAST')
543624: ('CALL_METHOD', 'POP_TOP')
508596: ('LOAD_GLOBAL', 'LOAD_ATTR')
487736: ('STORE_FAST', 'SETUP_FINALLY')
479162: ('LOAD_METHOD', 'LOAD_CONST')
476948: ('BINARY_SUBSCR', 'STORE_FAST')
461965: ('LOAD_CONST', 'LOAD_CONST')
454665: ('CALL_METHOD', 'LOAD_CONST')
441956: ('POP_JUMP_IF_FALSE', 'LOAD_CONST')
438375: ('CALL_FUNCTION', 'RETURN_VALUE')
436487: ('<0>', 'POP_TOP')
435315: ('LOAD_FAST', 'BINARY_SUBSCR')
422928: ('LOAD_GLOBAL', 'CONTAINS_OP')
418347: ('STORE_FAST', 'STORE_FAST')
401417: ('EXTENDED_ARG', 'POP_JUMP_IF_FALSE')
399658: ('STORE_FAST', 'LOAD_CONST')
386485: ('LOAD_FAST', 'YIELD_VALUE')
383819: ('STORE_ATTR', 'LOAD_FAST')
383420: ('FOR_ITER', 'JUMP_ABSOLUTE')
381939: ('UNPACK_SEQUENCE', 'STORE_FAST')
377806: ('JUMP_FORWARD', 'LOAD_FAST')
370787: ('LOAD_CONST', 'CALL_FUNCTION_KW')
366806: ('CALL_FUNCTION', 'POP_JUMP_IF_FALSE')
359047: ('LOAD_ATTR', 'LOAD_ATTR')
349080: ('POP_BLOCK', 'JUMP_FORWARD')
345203: ('LOAD_GLOBAL', 'CALL_FUNCTION')
335682: ('LOAD_CONST', 'BINARY_SUBSCR')
334800: ('LOAD_FAST', 'CONTAINS_OP')
332119: ('CALL_METHOD', 'RETURN_VALUE')
321599: ('LOAD_CONST', 'LOAD_METHOD')
313715: ('LOAD_FAST', 'POP_JUMP_IF_FALSE')
298178: ('LOAD_FAST', 'STORE_SUBSCR')
292717: ('LOAD_ATTR', 'LOAD_METHOD')
291042: ('LOAD_GLOBAL', 'LOAD_GLOBAL')
288835: ('POP_TOP', 'POP_TOP')
287650: ('LIST_APPEND', 'JUMP_ABSOLUTE')
279013: ('POP_JUMP_IF_TRUE', 'LOAD_FAST')
261406: ('STORE_FAST', 'POP_BLOCK')
259873: ('LOAD_DEREF', 'LOAD_FAST')
249693: ('STORE_ATTR', 'LOAD_CONST')
243408: ('POP_TOP', 'LOAD_FAST')
240788: ('FOR_ITER', 'UNPACK_SEQUENCE')
238849: ('STORE_SUBSCR', 'JUMP_FORWARD')
235661: ('CALL_METHOD', 'LIST_APPEND')
230651: ('LOAD_ATTR', 'RETURN_VALUE')
229587: ('LOAD_ATTR', 'STORE_FAST')
225351: ('LOAD_ATTR', 'CALL_FUNCTION')
222148: ('POP_BLOCK', 'JUMP_ABSOLUTE')
217509: ('LOAD_CONST', 'CALL_METHOD')
217357: ('SETUP_FINALLY', 'LOAD_GLOBAL')
216445: ('JUMP_FORWARD', 'POP_BLOCK')
215877: ('LOAD_FAST', 'BUILD_TUPLE')
215275: ('<0>', 'LOAD_CONST')
206827: ('BUILD_MAP', 'LOAD_FAST')
201485: ('BUILD_SLICE', 'BINARY_SUBSCR')
199698: ('DICT_MERGE', 'CALL_FUNCTION_EX')
196486: ('CALL_FUNCTION', 'LOAD_FAST')
