320906: ('LOAD_FAST', 'LOAD_FAST')
277383: ('LOAD_GLOBAL', 'LOAD_FAST')
260407: ('LOAD_FAST', 'LOAD_CONST')
247343: ('STORE_FAST', 'LOAD_FAST')
190306: ('POP_JUMP_IF_FALSE', 'LOAD_FAST')
183367: ('LOAD_FAST', 'LOAD_ATTR')
144573: ('LOAD_FAST', 'CALL_FUNCTION')
130404: ('LOAD_FAST', 'LOAD_GLOBAL')
129022: ('LOAD_FAST', 'LOAD_METHOD')
124299: ('LOAD_METHOD', 'LOAD_FAST')
115394: ('EXTENDED_ARG', 'POP_JUMP_IF_FALSE')
103937: ('LOAD_CONST', 'COMPARE_OP')
100937: ('STORE_FAST', 'STORE_FAST')
98474: ('STORE_FAST', 'LOAD_GLOBAL')
94267: ('<0>', 'LOAD_GLOBAL')
93184: ('FOR_ITER', 'STORE_FAST')
91540: ('COMPARE_OP', 'POP_JUMP_IF_FALSE')
89635: ('UNPACK_SEQUENCE', 'STORE_FAST')
89116: ('JUMP_ABSOLUTE', 'FOR_ITER')
87949: ('LOAD_GLOBAL', 'CALL_FUNCTION')
85816: ('CALL_METHOD', 'STORE_FAST')
79582: ('FOR_ITER', 'UNPACK_SEQUENCE')
74121: ('LOAD_CONST', 'IS_OP')
71519: ('POP_JUMP_IF_FALSE', 'FOR_ITER')
70107: ('COMPARE_OP', 'EXTENDED_ARG')
69121: ('CALL_FUNCTION', 'POP_JUMP_IF_TRUE')
67281: ('LOAD_CONST', 'LOAD_FAST')
65643: ('LOAD_METHOD', 'CALL_METHOD')
65450: ('POP_JUMP_IF_FALSE', 'LOAD_GLOBAL')
64987: ('LOAD_CONST', 'CALL_METHOD')
63723: ('POP_JUMP_IF_TRUE', 'LOAD_FAST')
61267: ('<0>', 'LOAD_FAST')
58278: ('LOAD_CONST', 'RETURN_VALUE')
57796: ('IS_OP', 'POP_JUMP_IF_FALSE')
56504: ('CALL_FUNCTION', 'STORE_FAST')
55266: ('POP_JUMP_IF_TRUE', 'LOAD_GLOBAL')
51422: ('LOAD_FAST', 'CONTAINS_OP')
51343: ('LOAD_GLOBAL', 'LOAD_METHOD')
49605: ('LOAD_FAST', 'STORE_ATTR')
48556: ('LOAD_FAST', 'BINARY_SUBSCR')
46341: ('LOAD_FAST', 'CALL_METHOD')
45320: ('LOAD_FAST', 'STORE_SUBSCR')
43868: ('CALL_FUNCTION', 'POP_JUMP_IF_FALSE')
42312: ('LOAD_FAST', 'COMPARE_OP')
42104: ('POP_TOP', 'LOAD_FAST')
41778: ('STORE_SUBSCR', 'JUMP_ABSOLUTE')
41443: ('LOAD_CONST', 'LOAD_CONST')
41244: ('LOAD_ATTR', 'LOAD_CONST')
40455: ('CALL_METHOD', 'RETURN_VALUE')
39023: ('STORE_FAST', 'LOAD_CONST')
38553: ('LOAD_ATTR', 'LOAD_FAST')
36836: ('CONTAINS_OP', 'POP_JUMP_IF_FALSE')
36574: ('POP_JUMP_IF_FALSE', 'LOAD_CONST')
36517: ('CALL_FUNCTION', 'POP_TOP')
34088: ('LOAD_GLOBAL', 'CALL_METHOD')
33002: ('LOAD_ATTR', 'LOAD_METHOD')
30854: ('IS_OP', 'EXTENDED_ARG')
29707: ('LOAD_ATTR', 'CALL_FUNCTION')
26544: ('LOAD_FAST', 'POP_JUMP_IF_FALSE')
26415: ('CALL_FUNCTION', 'LOAD_FAST')
26333: ('STORE_ATTR', 'LOAD_FAST')
25933: ('POP_JUMP_IF_TRUE', 'LOAD_CONST')
25080: ('POP_TOP', 'JUMP_ABSOLUTE')
24492: ('CALL_FUNCTION', 'LOAD_GLOBAL')
23856: ('BINARY_ADD', 'LOAD_FAST')
23741: ('LOAD_CONST', 'CALL_FUNCTION')
23739: ('SETUP_FINALLY', 'LOAD_GLOBAL')
23642: ('BINARY_SUBSCR', 'LOAD_FAST')
23611: ('LOAD_FAST', 'BINARY_ADD')
23572: ('JUMP_FORWARD', 'LOAD_FAST')
23551: ('LOAD_GLOBAL', 'IS_OP')
23255: ('LOAD_GLOBAL', 'LOAD_ATTR')
22905: ('LOAD_METHOD', 'LOAD_CONST')
21844: ('LOAD_FAST', 'POP_JUMP_IF_TRUE')
21633: ('CALL_METHOD', 'LOAD_FAST')
21523: ('CALL_METHOD', 'POP_TOP')
20790: ('LOAD_FAST', 'RETURN_VALUE')
19891: ('BINARY_SUBSCR', 'COMPARE_OP')
19583: ('LOAD_ATTR', 'STORE_FAST')
19511: ('IS_OP', 'POP_JUMP_IF_TRUE')
18418: ('<0>', 'POP_TOP')
