61840186: ('LOAD_GLOBAL', 'LOAD_FAST')
28309242: ('LOAD_FAST', 'CALL_FUNCTION')
27776561: ('<0>', 'LOAD_GLOBAL')
26549025: ('LOAD_FAST', 'LOAD_FAST')
25776468: ('LOAD_FAST', 'LOAD_CONST')
24450551: ('LOAD_FAST', 'LOAD_ATTR')
20895736: ('LOAD_FAST', 'LOAD_GLOBAL')
18823620: ('POP_JUMP_IF_FALSE', 'LOAD_FAST')
17033165: ('POP_JUMP_IF_FALSE', 'LOAD_GLOBAL')
16549033: ('CALL_FUNCTION', 'POP_JUMP_IF_FALSE')
16046464: ('STORE_FAST', 'LOAD_FAST')
14651555: ('STORE_FAST', 'LOAD_GLOBAL')
14486658: ('<0>', 'LOAD_FAST')
12931106: ('LOAD_METHOD', 'LOAD_FAST')
12313312: ('LOAD_GLOBAL', 'CALL_FUNCTION')
11889700: ('LOAD_CONST', 'IS_OP')
11387966: ('LOAD_CONST', 'RETURN_VALUE')
11214282: ('CALL_FUNCTION', 'STORE_FAST')
11129180: ('LOAD_FAST', 'CALL_METHOD')
10425306: ('LOAD_GLOBAL', 'LOAD_ATTR')
10220885: ('IS_OP', 'POP_JUMP_IF_FALSE')
9865657: ('LOAD_CONST', 'LOAD_CONST')
9017367: ('LOAD_ATTR', 'CALL_FUNCTION')
8808302: ('LOAD_GLOBAL', 'LOAD_METHOD')
8191756: ('CALL_FUNCTION', 'RETURN_VALUE')
7764957: ('LOAD_FAST', 'RETURN_VALUE')
7295167: ('LOAD_GLOBAL', 'LOAD_GLOBAL')
6687514: ('LOAD_FAST', 'LOAD_DEREF')
6524009: ('LOAD_FAST', 'BINARY_SUBSCR')
6523400: ('LOAD_CONST', 'CALL_FUNCTION')
6113387: ('COMPARE_OP', 'POP_JUMP_IF_FALSE')
6015176: ('LOAD_CONST', 'COMPARE_OP')
5718380: ('LOAD_FAST', 'LOAD_METHOD')
5651851: ('LOAD_ATTR', 'LOAD_FAST')
5622518: ('CALL_FUNCTION', 'POP_JUMP_IF_TRUE')
5598164: ('LOAD_DEREF', 'LOAD_CONST')
5441248: ('LOAD_CONST', 'CALL_FUNCTION_KW')
5217103: ('FOR_ITER', 'STORE_FAST')
5140266: ('JUMP_ABSOLUTE', 'FOR_ITER')
4878950: ('CONTAINS_OP', 'RETURN_VALUE')
4851192: ('CALL_FUNCTION', 'LOAD_DEREF')
4821402: ('LOAD_DEREF', 'CONTAINS_OP')
4799272: ('LOAD_FAST', 'STORE_ATTR')
4765122: ('LOAD_CONST', 'MAKE_FUNCTION')
4664170: ('POP_JUMP_IF_FALSE', 'LOAD_CONST')
4655382: ('POP_TOP', 'POP_TOP')
4437390: ('LOAD_ATTR', 'LOAD_CONST')
4424416: ('LOAD_CONST', 'LOAD_FAST')
4344811: ('CALL_METHOD', 'POP_TOP')
4198218: ('POP_JUMP_IF_TRUE', 'LOAD_GLOBAL')
4158388: ('SETUP_FINALLY', 'LOAD_GLOBAL')
3909963: ('CALL_METHOD', 'STORE_FAST')
3885202: ('EXTENDED_ARG', 'POP_JUMP_IF_FALSE')
3710666: ('LOAD_ATTR', 'LOAD_GLOBAL')
3626265: ('POP_JUMP_IF_TRUE', 'LOAD_FAST')
3449399: ('BUILD_TUPLE', 'LOAD_CONST')
3391415: ('LOAD_CLOSURE', 'BUILD_TUPLE')
3387285: ('LOAD_FAST', 'POP_JUMP_IF_FALSE')
3322358: ('<0>', 'SETUP_FINALLY')
3061533: ('CALL_FUNCTION', 'CALL_FUNCTION')
3004519: ('BUILD_TUPLE', 'CALL_FUNCTION')
2842019: ('LOAD_FAST', 'GET_ITER')
2785293: ('GET_ITER', 'CALL_FUNCTION')
2785290: ('LOAD_FAST', 'FOR_ITER')
2783688: ('STORE_ATTR', 'LOAD_FAST')
2751202: ('CALL_METHOD', 'RETURN_VALUE')
2743591: ('LOAD_GLOBAL', 'LOAD_CONST')
2692486: ('MAKE_FUNCTION', 'LOAD_FAST')
2689715: ('LOAD_CONST', 'BINARY_SUBSCR')
2653086: ('LOAD_ATTR', 'STORE_FAST')
2637277: ('CALL_FUNCTION', 'LOAD_CONST')
2513812: ('POP_TOP', 'LOAD_GLOBAL')
2463929: ('BINARY_SUBSCR', 'STORE_FAST')
2453160: ('LOAD_DEREF', 'LOAD_FAST')
2390051: ('POP_TOP', 'LOAD_FAST')
2344677: ('LOAD_METHOD', 'CALL_METHOD')
2320552: ('JUMP_IF_NOT_EXC_MATCH', 'POP_TOP')
2320530: ('DUP_TOP', 'LOAD_GLOBAL')
2299826: ('LOAD_GLOBAL', 'JUMP_IF_NOT_EXC_MATCH')
2274128: ('POP_TOP', 'POP_EXCEPT')
2248178: ('LOAD_ATTR', 'LOAD_ATTR')
2189372: ('CALL_FUNCTION_KW', 'STORE_FAST')
2187123: ('LOAD_ATTR', 'RETURN_VALUE')
2097262: ('LOAD_GLOBAL', 'BUILD_TUPLE')
2081521: ('CALL_FUNCTION', 'EXTENDED_ARG')
2059585: ('STORE_FAST', 'LOAD_DEREF')
2027336: ('STORE_FAST', 'STORE_FAST')
1987590: ('POP_TOP', 'JUMP_ABSOLUTE')
1951125: ('LOAD_DEREF', 'LOAD_ATTR')
1928566: ('CALL_FUNCTION', 'POP_TOP')
1877123: ('UNPACK_SEQUENCE', 'STORE_FAST')
1849830: ('BINARY_SUBSCR', 'DUP_TOP')
1830643: ('LOAD_CONST', 'CALL_METHOD')
1813164: ('CALL_FUNCTION_KW', 'RETURN_VALUE')
1810196: ('CONTAINS_OP', 'POP_JUMP_IF_FALSE')
1778577: ('POP_JUMP_IF_FALSE', 'LOAD_DEREF')
1753549: ('BUILD_MAP', 'LOAD_FAST')
1737047: ('CALL_METHOD', 'LOAD_CONST')
1720226: ('DICT_MERGE', 'CALL_FUNCTION_EX')
1719138: ('IS_OP', 'RETURN_VALUE')
1710677: ('LIST_APPEND', 'JUMP_ABSOLUTE')
1702961: ('STORE_ATTR', 'LOAD_CONST')
1694832: ('BUILD_LIST', 'LOAD_FAST')
1674996: ('JUMP_FORWARD', 'LOAD_GLOBAL')
1614748: ('LOAD_FAST', 'BUILD_TUPLE')
1608146: ('LOAD_ATTR', 'LOAD_METHOD')
1600264: ('LOAD_METHOD', 'LOAD_CONST')
1583408: ('GET_ITER', 'FOR_ITER')
1519483: ('<0>', 'POP_TOP')
1510883: ('LOAD_ATTR', 'BUILD_TUPLE')
1492243: ('CALL_FUNCTION', 'LOAD_FAST')
1458926: ('LOAD_CONST', 'STORE_SUBSCR')
