3753334: ('LOAD_FAST', 'LOAD_METHOD')
2957986: ('STORE_FAST', 'LOAD_FAST')
2337887: ('LOAD_FAST', 'LOAD_ATTR')
2196698: ('LOAD_FAST', 'LOAD_FAST')
1840267: ('LOAD_METHOD', 'LOAD_FAST')
1810702: ('<0>', 'LOAD_FAST')
1684295: ('LOAD_GLOBAL', 'LOAD_FAST')
1666486: ('CALL_METHOD', 'RETURN_VALUE')
1643880: ('LOAD_CONST', 'CALL_METHOD')
1616061: ('LOAD_FAST', 'CALL_METHOD')
1465635: ('LOAD_FAST', 'LOAD_CONST')
1223309: ('FOR_ITER', 'STORE_FAST')
1218985: ('POP_JUMP_IF_FALSE', 'LOAD_FAST')
1178618: ('JUMP_ABSOLUTE', 'FOR_ITER')
1146343: ('LOAD_ATTR', 'LOAD_FAST')
1130915: ('LOAD_DEREF', 'LOAD_CONST')
1126867: ('LOAD_METHOD', 'LOAD_DEREF')
1062620: ('LOAD_METHOD', 'CALL_METHOD')
1004865: ('STORE_FAST', 'STORE_FAST')
914930: ('POP_TOP', 'JUMP_ABSOLUTE')
898972: ('<0>', 'LOAD_GLOBAL')
853075: ('LOAD_FAST', 'LOAD_GLOBAL')
826005: ('<0>', 'POP_TOP')
764799: ('LOAD_GLOBAL', 'CALL_FUNCTION')
761428: ('LOAD_FAST', 'STORE_ATTR')
750828: ('LOAD_FAST', 'CALL_FUNCTION')
749822: ('UNPACK_SEQUENCE', 'STORE_FAST')
731917: ('COMPARE_OP', 'POP_JUMP_IF_FALSE')
697734: ('POP_JUMP_IF_TRUE', 'LOAD_FAST')
690488: ('LOAD_CONST', 'COMPARE_OP')
667376: ('CALL_METHOD', 'STORE_FAST')
645658: ('LOAD_CONST', 'LOAD_CONST')
624753: ('LOAD_CONST', 'RETURN_VALUE')
576644: ('POP_JUMP_IF_FALSE', 'FOR_ITER')
559927: ('FOR_ITER', 'UNPACK_SEQUENCE')
558887: ('LOAD_FAST', 'POP_JUMP_IF_FALSE')
546840: ('SETUP_FINALLY', 'LOAD_FAST')
493929: ('BUILD_SLICE', 'BINARY_SUBSCR')
485777: ('LOAD_FAST', 'BINARY_SUBSCR')
483049: ('JUMP_FORWARD', 'LOAD_FAST')
465745: ('BINARY_SUBSCR', 'STORE_FAST')
461640: ('POP_BLOCK', 'JUMP_FORWARD')
456433: ('<0>', 'SETUP_FINALLY')
455413: ('CALL_METHOD', 'POP_TOP')
447676: ('LOAD_CONST', 'BUILD_SLICE')
446993: ('CALL_FUNCTION', 'POP_JUMP_IF_TRUE')
440888: ('STORE_FAST', 'LOAD_GLOBAL')
432008: ('CALL_METHOD', 'BINARY_SUBSCR')
420973: ('STORE_FAST', 'POP_BLOCK')
416701: ('BINARY_SUBSCR', 'LOAD_CONST')
406079: ('CALL_FUNCTION', 'STORE_FAST')
404552: ('LOAD_ATTR', 'LOAD_METHOD')
396557: ('BINARY_SUBSCR', 'BUILD_TUPLE')
396252: ('BUILD_TUPLE', 'YIELD_VALUE')
393706: ('LOAD_METHOD', 'LOAD_CONST')
391454: ('STORE_ATTR', 'LOAD_FAST')
391123: ('IS_OP', 'POP_JUMP_IF_FALSE')
376614: ('CALL_METHOD', 'YIELD_VALUE')
367979: ('LOAD_CONST', 'IS_OP')
322062: ('LOAD_CONST', 'LOAD_FAST')
320981: ('POP_JUMP_IF_FALSE', 'LOAD_GLOBAL')
287631: ('POP_JUMP_IF_FALSE', 'LOAD_CONST')
280350: ('GET_ITER', 'FOR_ITER')
279090: ('LOAD_FAST', 'RETURN_VALUE')
275318: ('CALL_FUNCTION', 'RETURN_VALUE')
274644: ('CALL_FUNCTION', 'POP_JUMP_IF_FALSE')
243729: ('CALL_METHOD', 'LOAD_FAST')
243350: ('STORE_ATTR', 'LOAD_CONST')
243158: ('POP_TOP', 'LOAD_FAST')
223670: ('LOAD_ATTR', 'LOAD_CONST')
206713: ('CONTAINS_OP', 'POP_JUMP_IF_FALSE')
179202: ('LOAD_FAST', 'POP_JUMP_IF_TRUE')
175772: ('LOAD_CONST', 'BINARY_SUBSCR')
167329: ('LOAD_ATTR', 'CALL_FUNCTION')
161901: ('LOAD_GLOBAL', 'LOAD_METHOD')
154653: ('LOAD_FAST', 'CONTAINS_OP')
151867: ('POP_TOP', 'LOAD_CONST')
142738: ('LOAD_GLOBAL', 'LOAD_GLOBAL')
141056: ('EXTENDED_ARG', 'POP_JUMP_IF_FALSE')
134379: ('LOAD_FAST', 'BUILD_TUPLE')
134347: ('FOR_ITER', 'LOAD_FAST')
128596: ('LOAD_ATTR', 'STORE_FAST')
127348: ('CALL_FUNCTION', 'LOAD_FAST')
126265: ('POP_TOP', 'POP_TOP')
107806: ('LOAD_GLOBAL', 'LOAD_ATTR')
106625: ('CALL_METHOD', 'POP_JUMP_IF_TRUE')
105319: ('LOAD_CONST', 'CALL_FUNCTION_KW')
104264: ('FOR_ITER', 'LOAD_CONST')
101619: ('LOAD_FAST', 'GET_ITER')
100915: ('STORE_FAST', 'JUMP_ABSOLUTE')
99796: ('LOAD_CONST', 'STORE_FAST')
99486: ('STORE_ATTR', 'LOAD_GLOBAL')
98988: ('POP_JUMP_IF_TRUE', 'LOAD_GLOBAL')
96427: ('LOAD_FAST', 'COMPARE_OP')
94939: ('CALL_METHOD', 'UNPACK_SEQUENCE')
94553: ('CALL_FUNCTION', 'LOAD_CONST')
92671: ('BUILD_MAP', 'LOAD_FAST')
89937: ('CALL_FUNCTION', 'POP_TOP')
87897: ('LOAD_GLOBAL', 'BUILD_TUPLE')
87234: ('LOAD_ATTR', 'LOAD_ATTR')
85624: ('LOAD_ATTR', 'POP_JUMP_IF_FALSE')
85537: ('LOAD_FAST', 'STORE_SUBSCR')
84448: ('LOAD_CONST', 'MAKE_FUNCTION')
84330: ('STORE_SUBSCR', 'JUMP_ABSOLUTE')
84026: ('LOAD_CONST', 'CALL_FUNCTION')
83272: ('CALL_METHOD', 'POP_JUMP_IF_FALSE')
79547: ('LOAD_FAST', 'EXTENDED_ARG')
78004: ('LIST_APPEND', 'JUMP_ABSOLUTE')
77552: ('CALL_FUNCTION', 'CALL_FUNCTION')
75068: ('LOAD_CONST', 'BINARY_ADD')
73774: ('CALL_METHOD', 'GET_ITER')
72790: ('POP_TOP', 'POP_BLOCK')
71615: ('STORE_FAST', 'LOAD_CONST')
66428: ('LOAD_FAST', 'BINARY_ADD')
64361: ('JUMP_IF_NOT_EXC_MATCH', 'POP_TOP')
64345: ('DUP_TOP', 'LOAD_GLOBAL')
63947: ('LOAD_GLOBAL', 'LOAD_CONST')
62370: ('LOAD_CONST', 'DUP_TOP')
61899: ('DICT_MERGE', 'CALL_FUNCTION_EX')
60397: ('BUILD_TUPLE', 'CALL_FUNCTION')
60099: ('LOAD_FAST', 'DICT_MERGE')
59960: ('CALL_FUNCTION_EX', 'RETURN_VALUE')
59607: ('POP_JUMP_IF_TRUE', 'LOAD_CONST')
59434: ('BINARY_ADD', 'RETURN_VALUE')
59039: ('GET_ITER', 'CALL_FUNCTION')
59039: ('LOAD_FAST', 'FOR_ITER')
57259: ('BUILD_LIST', 'LOAD_FAST')
57105: ('<0>', 'BUILD_LIST')
56535: ('SETUP_FINALLY', 'LOAD_GLOBAL')
56495: ('MAKE_FUNCTION', 'LOAD_FAST')
55818: ('LOAD_GLOBAL', 'IS_OP')
55658: ('SETUP_WITH', 'POP_TOP')
55648: ('POP_BLOCK', 'LOAD_CONST')
55276: ('COMPARE_OP', 'EXTENDED_ARG')
55259: ('LOAD_GLOBAL', 'JUMP_IF_NOT_EXC_MATCH')
54653: ('CALL_FUNCTION', 'LOAD_GLOBAL')
54045: ('DUP_TOP', 'DUP_TOP')
54045: ('DUP_TOP', 'CALL_FUNCTION')
53296: ('JUMP_FORWARD', 'LOAD_CONST')
53121: ('BUILD_LIST', 'STORE_FAST')
52777: ('COMPARE_OP', 'POP_JUMP_IF_TRUE')
52182: ('LOAD_ATTR', 'GET_ITER')
51084: ('LOAD_CONST', 'LOAD_METHOD')
51000: ('LOAD_ATTR', 'SETUP_WITH')
50960: ('LOAD_FAST', 'CALL_FUNCTION_EX')
50112: ('BINARY_ADD', 'LOAD_FAST')
49910: ('BUILD_TUPLE', 'LOAD_FAST')
48707: ('BINARY_SUBSCR', 'GET_ITER')
48600: ('COMPARE_OP', 'LIST_APPEND')
48312: ('BINARY_SUBSCR', 'LOAD_GLOBAL')
47214: ('POP_TOP', 'JUMP_FORWARD')
47157: ('LOAD_GLOBAL', 'COMPARE_OP')
46842: ('<0>', 'LOAD_CONST')
45021: ('BUILD_TUPLE', 'BINARY_ADD')
44278: ('EXTENDED_ARG', 'POP_JUMP_IF_TRUE')
44194: ('CALL_FUNCTION', 'UNPACK_SEQUENCE')
43967: ('FOR_ITER', 'RETURN_VALUE')
43670: ('LOAD_FAST', 'UNPACK_SEQUENCE')
43454: ('CALL_FUNCTION_KW', 'STORE_FAST')
43116: ('BINARY_SUBSCR', 'RETURN_VALUE')
42078: ('LOAD_FAST', 'DUP_TOP')
41990: ('BUILD_TUPLE', 'RETURN_VALUE')
41976: ('LOAD_METHOD', 'LOAD_GLOBAL')
41703: ('POP_BLOCK', 'RETURN_VALUE')
41375: ('INPLACE_ADD', 'STORE_FAST')
40629: ('LOAD_ATTR', 'LOAD_GLOBAL')
40501: ('POP_JUMP_IF_FALSE', 'SETUP_FINALLY')
39657: ('LOAD_FAST', 'YIELD_VALUE')
39628: ('POP_TOP', 'LOAD_GLOBAL')
38706: ('STORE_FAST', 'SETUP_FINALLY')
38679: ('STORE_SUBSCR', 'LOAD_CONST')
37800: ('CALL_METHOD', 'STORE_SUBSCR')
37685: ('JUMP_FORWARD', 'LOAD_GLOBAL')
36793: ('LOAD_GLOBAL', 'CONTAINS_OP')
36094: ('LOAD_FAST', 'JUMP_IF_TRUE_OR_POP')
35728: ('CALL_FUNCTION', 'GET_ITER')
35394: ('POP_TOP', 'RETURN_VALUE')
34783: ('LOAD_FAST', 'INPLACE_ADD')
34752: ('CALL_METHOD', 'LOAD_CONST')
33862: ('POP_TOP', 'POP_EXCEPT')
33470: ('BINARY_ADD', 'BUILD_SLICE')
33459: ('LOAD_ATTR', 'COMPARE_OP')
32998: ('ROT_TWO', 'STORE_ATTR')
32998: ('DUP_TOP', 'LOAD_ATTR')
32964: ('BINARY_SUBSCR', 'LOAD_METHOD')
32731: ('CALL_METHOD', 'CALL_FUNCTION')
31820: ('BINARY_SUBSCR', 'DUP_TOP')
30960: ('LOAD_ATTR', 'RETURN_VALUE')
30725: ('BUILD_TUPLE', 'BUILD_MAP')
30215: ('IS_OP', 'POP_JUMP_IF_TRUE')
29411: ('LOAD_CONST', 'INPLACE_ADD')
29217: ('LOAD_GLOBAL', 'GET_ITER')
28842: ('CALL_METHOD', 'LOAD_METHOD')
27697: ('LOAD_CONST', 'CONTAINS_OP')
27482: ('FOR_ITER', 'LOAD_GLOBAL')
27299: ('INPLACE_ADD', 'ROT_TWO')
27183: ('LOAD_ATTR', 'POP_JUMP_IF_TRUE')
27013: ('JUMP_FORWARD', 'STORE_FAST')
26837: ('BINARY_ADD', 'STORE_FAST')
26736: ('CALL_FUNCTION', 'LOAD_METHOD')
26298: ('LOAD_ATTR', 'CALL_METHOD')
26184: ('LOAD_FAST', 'BUILD_LIST')
25894: ('LOAD_FAST', 'STORE_FAST')
25798: ('STORE_FAST', 'JUMP_FORWARD')
25753: ('CALL_FUNCTION', 'BUILD_TUPLE')
25544: ('CALL_FUNCTION_EX', 'POP_TOP')
25152: ('LOAD_CONST', 'LOAD_GLOBAL')
24573: ('LOAD_FAST', 'IS_OP')
23880: ('POP_BLOCK', 'ROT_TWO')
23853: ('POP_EXCEPT', 'JUMP_FORWARD')
23644: ('LOAD_DEREF', 'LOAD_ATTR')
23538: ('CALL_METHOD', 'CALL_METHOD')
23421: ('LOAD_FAST', 'POP_BLOCK')
22791: ('CALL_FUNCTION', 'CALL_METHOD')
22058: ('ROT_TWO', 'LOAD_CONST')
21711: ('STORE_ATTR', 'BUILD_MAP')
21707: ('BUILD_TUPLE', 'STORE_FAST')
21645: ('CALL_METHOD', 'BUILD_TUPLE')
19989: ('LOAD_GLOBAL', 'POP_JUMP_IF_FALSE')
19820: ('CALL_FUNCTION_KW', 'POP_TOP')
19817: ('BUILD_MAP', 'STORE_FAST')
19672: ('LOAD_DEREF', 'LOAD_FAST')
19396: ('EXTENDED_ARG', 'FOR_ITER')
18052: ('IS_OP', 'EXTENDED_ARG')
18037: ('BINARY_SUBSCR', 'CALL_METHOD')
18001: ('POP_BLOCK', 'LOAD_FAST')
18000: ('JUMP_IF_TRUE_OR_POP', 'BUILD_MAP')
17637: ('BINARY_SUBSCR', 'LOAD_FAST')
17424: ('POP_JUMP_IF_TRUE', 'SETUP_FINALLY')
17111: ('BINARY_SUBSCR', 'POP_BLOCK')
17044: ('POP_TOP', 'SETUP_FINALLY')
16832: ('LOAD_CONST', 'BUILD_CONST_KEY_MAP')
16729: ('CALL_FUNCTION_KW', 'RETURN_VALUE')
16644: ('LOAD_ATTR', 'CONTAINS_OP')
16603: ('LOAD_FAST', 'BUILD_MAP')
16534: ('JUMP_ABSOLUTE', 'LOAD_FAST')
16530: ('POP_JUMP_IF_FALSE', 'POP_BLOCK')
16433: ('LOAD_CONST', 'BUILD_LIST')
16371: ('CALL_FUNCTION', 'DUP_TOP')
16348: ('LOAD_GLOBAL', 'CALL_METHOD')
16280: ('LOAD_ATTR', 'DUP_TOP')
15215: ('CALL_FUNCTION', 'EXTENDED_ARG')
15149: ('BINARY_SUBSCR', 'CALL_FUNCTION')
14924: ('LOAD_CONST', 'STORE_SUBSCR')
14816: ('CALL_FUNCTION_EX', 'STORE_FAST')
14800: ('LOAD_GLOBAL', 'LOAD_DEREF')
14739: ('STORE_ATTR', 'SETUP_FINALLY')
14461: ('STORE_ATTR', 'BUILD_LIST')
14414: ('DUP_TOP', 'LOAD_FAST')
14407: ('ROT_FOUR', 'POP_EXCEPT')
14407: ('POP_EXCEPT', 'RETURN_VALUE')
14405: ('LOAD_CONST', 'JUMP_FORWARD')
14404: ('LOAD_FAST', 'ROT_FOUR')
14180: ('BUILD_TUPLE', 'LOAD_CONST')
14132: ('LOAD_GLOBAL', 'STORE_FAST')
14007: ('POP_EXCEPT', 'LOAD_CONST')
13880: ('ROT_TWO', 'POP_TOP')
13724: ('CALL_FUNCTION', 'POP_BLOCK')
13521: ('POP_JUMP_IF_FALSE', 'LOAD_DEREF')
13442: ('BINARY_ADD', 'CALL_METHOD')
13191: ('JUMP_IF_TRUE_OR_POP', 'LOAD_GLOBAL')
13190: ('BUILD_TUPLE', 'CALL_METHOD')
13175: ('EXTENDED_ARG', 'JUMP_ABSOLUTE')
13146: ('FOR_ITER', 'JUMP_FORWARD')
13014: ('STORE_ATTR', 'JUMP_FORWARD')
12835: ('LOAD_FAST', 'BUILD_SLICE')
12650: ('LOAD_ATTR', 'BUILD_TUPLE')
12600: ('CALL_FUNCTION_KW', 'LOAD_FAST')
12073: ('CALL_METHOD', 'LIST_APPEND')
11960: ('LOAD_CLOSURE', 'BUILD_TUPLE')
11853: ('JUMP_ABSOLUTE', 'EXTENDED_ARG')
11679: ('ROT_THREE', 'COMPARE_OP')
11679: ('DUP_TOP', 'ROT_THREE')
11349: ('JUMP_FORWARD', 'SETUP_FINALLY')
11288: ('STORE_SUBSCR', 'LOAD_FAST')
11235: ('LOAD_FAST', 'LOAD_DEREF')
11192: ('ROT_TWO', 'STORE_FAST')
11049: ('STORE_SUBSCR', 'JUMP_FORWARD')
11029: ('BINARY_ADD', 'STORE_SUBSCR')
10835: ('<0>', 'BUILD_MAP')
