30044629: ('LOAD_METHOD', 'CALL_METHOD')
30039257: ('STORE_FAST', 'LOAD_FAST')
30011052: ('LOAD_FAST', 'LOAD_METHOD')
30010322: ('FOR_ITER', 'STORE_FAST')
29999631: ('JUMP_ABSOLUTE', 'FOR_ITER')
29995419: ('CALL_METHOD', 'POP_TOP')
29991967: ('POP_TOP', 'JUMP_ABSOLUTE')
149158: ('LOAD_FAST', 'LOAD_ATTR')
88819: ('POP_JUMP_IF_FALSE', 'LOAD_FAST')
76776: ('LOAD_FAST', 'LOAD_CONST')
69159: ('LOAD_FAST', 'STORE_ATTR')
64577: ('LOAD_GLOBAL', 'CALL_FUNCTION')
60434: ('LOAD_CONST', 'LOAD_CONST')
55870: ('LOAD_CONST', 'LOAD_FAST')
51056: ('LOAD_ATTR', 'RETURN_VALUE')
49721: ('<0>', 'LOAD_GLOBAL')
48335: ('<0>', 'LOAD_FAST')
45943: ('LOAD_GLOBAL', 'LOAD_ATTR')
45484: ('STORE_FAST', 'LOAD_GLOBAL')
41494: ('LOAD_GLOBAL', 'LOAD_GLOBAL')
41325: ('LOAD_FAST', 'LOAD_FAST')
40705: ('STORE_ATTR', 'LOAD_GLOBAL')
39046: ('IS_OP', 'POP_JUMP_IF_FALSE')
38355: ('LOAD_CONST', 'RETURN_VALUE')
37442: ('LOAD_ATTR', 'LOAD_FAST')
37048: ('LOAD_GLOBAL', 'LOAD_FAST')
36956: ('LOAD_CONST', 'IS_OP')
35649: ('LOAD_CONST', 'MAKE_FUNCTION')
34692: ('CALL_FUNCTION', 'STORE_FAST')
33987: ('CONTAINS_OP', 'POP_JUMP_IF_FALSE')
33891: ('LOAD_ATTR', 'STORE_FAST')
33482: ('STORE_NAME', 'LOAD_CONST')
33301: ('STORE_ATTR', 'LOAD_CONST')
32794: ('CALL_METHOD', 'RETURN_VALUE')
32254: ('GET_ITER', 'FOR_ITER')
31110: ('<0>', 'LOAD_CONST')
31068: ('LOAD_ATTR', 'CONTAINS_OP')
30159: ('BINARY_SUBSCR', 'LOAD_METHOD')
30128: ('CALL_FUNCTION', 'GET_ITER')
30015: ('LOAD_ATTR', 'LOAD_DEREF')
30004: ('LOAD_DEREF', 'BINARY_SUBSCR')
26291: ('LOAD_GLOBAL', 'LOAD_METHOD')
22799: ('LOAD_CONST', 'CALL_FUNCTION')
18784: ('LOAD_FAST', 'CALL_FUNCTION')
17645: ('LOAD_METHOD', 'LOAD_FAST')
15704: ('COMPARE_OP', 'POP_JUMP_IF_FALSE')
15334: ('POP_JUMP_IF_FALSE', 'LOAD_GLOBAL')
14600: ('LOAD_ATTR', 'LOAD_CONST')
13912: ('CALL_FUNCTION', 'POP_JUMP_IF_FALSE')
13095: ('CALL_FUNCTION', 'POP_TOP')
12468: ('LOAD_CONST', 'CALL_METHOD')
11966: ('MAKE_FUNCTION', 'STORE_NAME')
11952: ('LOAD_CONST', 'CALL_FUNCTION_KW')
11859: ('CALL_FUNCTION', 'LOAD_CONST')
11814: ('STORE_FAST', 'LOAD_CONST')
11245: ('CALL_FUNCTION', 'LOAD_FAST')
11166: ('STORE_NAME', 'LOAD_NAME')
11123: ('LOAD_CONST', 'STORE_NAME')
10973: ('CALL_FUNCTION', 'CALL_FUNCTION')
10646: ('FOR_ITER', 'LOAD_CONST')
10559: ('LOAD_ATTR', 'LOAD_GLOBAL')
10518: ('POP_TOP', 'LOAD_GLOBAL')
10504: ('LOAD_NAME', 'STORE_NAME')
10419: ('LOAD_NAME', 'CALL_FUNCTION')
10403: ('CALL_FUNCTION', 'LOAD_ATTR')
10375: ('MAKE_FUNCTION', 'LOAD_CONST')
10370: ('<0>', 'LOAD_NAME')
10369: ('LOAD_BUILD_CLASS', 'LOAD_CONST')
10340: ('ROT_TWO', 'STORE_ATTR')
10340: ('DUP_TOP', 'LOAD_ATTR')
10277: ('MAKE_FUNCTION', 'STORE_FAST')
10232: ('LOAD_CONST', 'INPLACE_ADD')
10181: ('FOR_ITER', 'STORE_NAME')
10170: ('INPLACE_ADD', 'ROT_TWO')
10122: ('LOAD_GLOBAL', 'COMPARE_OP')
10077: ('LOAD_CONST', 'LOAD_GLOBAL')
10064: ('CALL_METHOD', 'CALL_FUNCTION')
10005: ('LOAD_GLOBAL', 'DUP_TOP')
10001: ('CALL_FUNCTION_KW', 'LOAD_FAST')
10000: ('<0>', 'LOAD_BUILD_CLASS')
8259: ('LOAD_FAST', 'LOAD_GLOBAL')
6867: ('LOAD_FAST', 'CALL_METHOD')
5156: ('STORE_FAST', 'STORE_FAST')
5112: ('LIST_APPEND', 'JUMP_ABSOLUTE')
4998: ('EXTENDED_ARG', 'POP_JUMP_IF_FALSE')
4953: ('LOAD_FAST', 'POP_JUMP_IF_FALSE')
4883: ('LOAD_CONST', 'COMPARE_OP')
4845: ('UNPACK_SEQUENCE', 'STORE_FAST')
4670: ('POP_BLOCK', 'JUMP_FORWARD')
4326: ('STORE_ATTR', 'LOAD_FAST')
4218: ('FOR_ITER', 'UNPACK_SEQUENCE')
4125: ('LOAD_METHOD', 'LOAD_CONST')
4114: ('POP_JUMP_IF_FALSE', 'FOR_ITER')
4108: ('POP_TOP', 'LOAD_FAST')
4073: ('JUMP_FORWARD', 'LOAD_FAST')
3965: ('STORE_FAST', 'POP_BLOCK')
3954: ('LOAD_METHOD', 'LOAD_GLOBAL')
3901: ('CALL_METHOD', 'STORE_FAST')
3732: ('POP_JUMP_IF_FALSE', 'LOAD_CONST')
3578: ('LOAD_FAST', 'GET_ITER')
3445: ('LOAD_GLOBAL', 'CALL_METHOD')
