6280652: ('LOAD_FAST', 'LOAD_METHOD')
4952419: ('STORE_FAST', 'LOAD_FAST')
3850325: ('LOAD_FAST', 'LOAD_ATTR')
3791538: ('LOAD_FAST', 'LOAD_FAST')
3087547: ('LOAD_METHOD', 'LOAD_FAST')
3046912: ('<0>', 'LOAD_FAST')
2862593: ('LOAD_GLOBAL', 'LOAD_FAST')
2782145: ('CALL_METHOD', 'RETURN_VALUE')
2768917: ('LOAD_CONST', 'CALL_METHOD')
2714529: ('LOAD_FAST', 'CALL_METHOD')
2502561: ('LOAD_FAST', 'LOAD_CONST')
2107892: ('POP_JUMP_IF_FALSE', 'LOAD_FAST')
2069500: ('FOR_ITER', 'STORE_FAST')
2007995: ('JUMP_ABSOLUTE', 'FOR_ITER')
1925395: ('LOAD_ATTR', 'LOAD_FAST')
1887518: ('LOAD_DEREF', 'LOAD_CONST')
1881068: ('LOAD_METHOD', 'LOAD_DEREF')
1767772: ('LOAD_METHOD', 'CALL_METHOD')
1660699: ('STORE_FAST', 'STORE_FAST')
1550717: ('POP_TOP', 'JUMP_ABSOLUTE')
1523896: ('<0>', 'LOAD_GLOBAL')
1467350: ('LOAD_FAST', 'LOAD_GLOBAL')
1396610: ('<0>', 'POP_TOP')
1304876: ('LOAD_GLOBAL', 'CALL_FUNCTION')
1286224: ('LOAD_FAST', 'CALL_FUNCTION')
1262435: ('LOAD_FAST', 'STORE_ATTR')
1231655: ('UNPACK_SEQUENCE', 'STORE_FAST')
1198000: ('COMPARE_OP', 'POP_JUMP_IF_FALSE')
1196344: ('POP_JUMP_IF_TRUE', 'LOAD_FAST')
1174735: ('LOAD_CONST', 'COMPARE_OP')
1118820: ('CALL_METHOD', 'STORE_FAST')
1103419: ('LOAD_CONST', 'LOAD_CONST')
1068717: ('LOAD_CONST', 'RETURN_VALUE')
957107: ('LOAD_FAST', 'POP_JUMP_IF_FALSE')
927020: ('POP_JUMP_IF_FALSE', 'FOR_ITER')
912140: ('FOR_ITER', 'UNPACK_SEQUENCE')
903837: ('SETUP_FINALLY', 'LOAD_FAST')
838767: ('BUILD_SLICE', 'BINARY_SUBSCR')
795510: ('JUMP_FORWARD', 'LOAD_FAST')
795020: ('LOAD_FAST', 'BINARY_SUBSCR')
781963: ('BINARY_SUBSCR', 'STORE_FAST')
775337: ('STORE_FAST', 'LOAD_GLOBAL')
767505: ('POP_BLOCK', 'JUMP_FORWARD')
764468: ('<0>', 'SETUP_FINALLY')
764399: ('CALL_FUNCTION', 'POP_JUMP_IF_TRUE')
745711: ('LOAD_CONST', 'BUILD_SLICE')
742921: ('CALL_METHOD', 'POP_TOP')
723008: ('CALL_METHOD', 'BINARY_SUBSCR')
702948: ('CALL_FUNCTION', 'STORE_FAST')
692588: ('STORE_FAST', 'POP_BLOCK')
689101: ('BINARY_SUBSCR', 'LOAD_CONST')
680013: ('IS_OP', 'POP_JUMP_IF_FALSE')
675155: ('LOAD_METHOD', 'LOAD_CONST')
672634: ('LOAD_ATTR', 'LOAD_METHOD')
664863: ('STORE_ATTR', 'LOAD_FAST')
660559: ('BINARY_SUBSCR', 'BUILD_TUPLE')
660252: ('BUILD_TUPLE', 'YIELD_VALUE')
637653: ('LOAD_CONST', 'IS_OP')
636416: ('CALL_METHOD', 'YIELD_VALUE')
554045: ('POP_JUMP_IF_FALSE', 'LOAD_GLOBAL')
526665: ('LOAD_CONST', 'LOAD_FAST')
483326: ('POP_JUMP_IF_FALSE', 'LOAD_CONST')
477534: ('LOAD_FAST', 'RETURN_VALUE')
473325: ('CALL_FUNCTION', 'RETURN_VALUE')
469980: ('GET_ITER', 'FOR_ITER')
462465: ('CALL_FUNCTION', 'POP_JUMP_IF_FALSE')
404355: ('CALL_METHOD', 'LOAD_FAST')
394129: ('STORE_ATTR', 'LOAD_CONST')
384861: ('POP_TOP', 'LOAD_FAST')
363327: ('CONTAINS_OP', 'POP_JUMP_IF_FALSE')
360914: ('LOAD_ATTR', 'LOAD_CONST')
308628: ('LOAD_FAST', 'POP_JUMP_IF_TRUE')
284814: ('LOAD_CONST', 'BINARY_SUBSCR')
279533: ('LOAD_ATTR', 'CALL_FUNCTION')
275868: ('LOAD_FAST', 'CONTAINS_OP')
271016: ('LOAD_GLOBAL', 'LOAD_METHOD')
247802: ('POP_TOP', 'LOAD_CONST')
241154: ('LOAD_GLOBAL', 'LOAD_GLOBAL')
237400: ('LOAD_FAST', 'BUILD_TUPLE')
231083: ('EXTENDED_ARG', 'POP_JUMP_IF_FALSE')
225211: ('CALL_FUNCTION', 'LOAD_FAST')
223386: ('FOR_ITER', 'LOAD_FAST')
219501: ('POP_TOP', 'POP_TOP')
209016: ('LOAD_ATTR', 'STORE_FAST')
198773: ('LOAD_GLOBAL', 'LOAD_ATTR')
193630: ('FOR_ITER', 'LOAD_CONST')
191000: ('LOAD_FAST', 'GET_ITER')
184917: ('STORE_FAST', 'JUMP_ABSOLUTE')
183612: ('POP_JUMP_IF_TRUE', 'LOAD_GLOBAL')
183427: ('CALL_METHOD', 'POP_JUMP_IF_TRUE')
178533: ('LOAD_CONST', 'CALL_FUNCTION_KW')
