57448021: ('LOAD_FAST', 'LOAD_ATTR')
55626367: ('LOAD_FAST', 'LOAD_FAST')
46674356: ('LOAD_GLOBAL', 'LOAD_FAST')
45146373: ('LOAD_FAST', 'STORE_ATTR')
29373772: ('LOAD_GLOBAL', 'CALL_FUNCTION')
26560465: ('<0>', 'LOAD_FAST')
25486199: ('LOAD_FAST', 'LOAD_GLOBAL')
24288133: ('POP_JUMP_IF_FALSE', 'LOAD_FAST')
24019150: ('STORE_FAST', 'LOAD_FAST')
23476880: ('LOAD_METHOD', 'LOAD_FAST')
21982950: ('STORE_ATTR', 'LOAD_FAST')
21372934: ('LOAD_FAST', 'LOAD_CONST')
21241367: ('LOAD_FAST', 'LOAD_METHOD')
20584178: ('LOAD_CONST', 'RETURN_VALUE')
20568166: ('LOAD_FAST', 'CALL_METHOD')
19516838: ('POP_JUMP_IF_FALSE', 'LOAD_GLOBAL')
18032295: ('<0>', 'LOAD_GLOBAL')
17773488: ('STORE_ATTR', 'LOAD_CONST')
15692730: ('LOAD_ATTR', 'LOAD_FAST')
14871612: ('CALL_FUNCTION', 'POP_JUMP_IF_FALSE')
14577486: ('IS_OP', 'POP_JUMP_IF_FALSE')
13626244: ('LOAD_CONST', 'IS_OP')
13172018: ('LOAD_CONST', 'LOAD_FAST')
13165771: ('LOAD_FAST', 'CALL_FUNCTION')
12225968: ('CALL_METHOD', 'POP_TOP')
11054489: ('STORE_FAST', 'LOAD_GLOBAL')
10214431: ('POP_JUMP_IF_TRUE', 'LOAD_FAST')
9563181: ('FOR_ITER', 'STORE_FAST')
9068314: ('LOAD_FAST', 'RETURN_VALUE')
8254082: ('LOAD_METHOD', 'CALL_METHOD')
7580777: ('CALL_FUNCTION', 'STORE_FAST')
7456627: ('POP_TOP', 'LOAD_FAST')
7093529: ('LOAD_CONST', 'BINARY_SUBSCR')
6746019: ('CALL_METHOD', 'RETURN_VALUE')
6551820: ('CALL_FUNCTION', 'POP_JUMP_IF_TRUE')
6418678: ('LOAD_ATTR', 'LOAD_CONST')
6264152: ('GET_ITER', 'FOR_ITER')
6260225: ('JUMP_ABSOLUTE', 'FOR_ITER')
6246722: ('<0>', 'LOAD_CONST')
5928172: ('LOAD_ATTR', 'CALL_FUNCTION')
5892234: ('CONTAINS_OP', 'POP_JUMP_IF_FALSE')
5539515: ('CALL_METHOD', 'STORE_FAST')
5420390: ('CALL_METHOD', 'LOAD_FAST')
5399687: ('CALL_FUNCTION', 'LOAD_METHOD')
5372604: ('LOAD_CONST', 'CALL_FUNCTION_KW')
5321840: ('LOAD_CONST', 'LOAD_CONST')
5292883: ('CALL_FUNCTION', 'LOAD_FAST')
5082606: ('LOAD_ATTR', 'LOAD_METHOD')
5030449: ('EXTENDED_ARG', 'POP_JUMP_IF_FALSE')
4832219: ('COMPARE_OP', 'POP_JUMP_IF_FALSE')
4631633: ('POP_JUMP_IF_FALSE', 'LOAD_CONST')
4569491: ('STORE_ATTR', 'LOAD_GLOBAL')
4467892: ('CALL_FUNCTION', 'RETURN_VALUE')
4396911: ('LOAD_ATTR', 'LOAD_ATTR')
4127214: ('LOAD_GLOBAL', 'LOAD_ATTR')
4108817: ('LOAD_GLOBAL', 'LOAD_GLOBAL')
4100303: ('LOAD_ATTR', 'STORE_FAST')
3861867: ('LOAD_ATTR', 'COMPARE_OP')
3836853: ('LOAD_ATTR', 'LOAD_GLOBAL')
3779224: ('LOAD_FAST', 'POP_JUMP_IF_FALSE')
3778894: ('POP_TOP', 'JUMP_ABSOLUTE')
