159794091: ('LOAD_FAST', 'LOAD_FAST')
112430362: ('STORE_FAST', 'LOAD_FAST')
99472752: ('POP_JUMP_IF_FALSE', 'LOAD_FAST')
96302983: ('LOAD_FAST', 'LOAD_ATTR')
94329817: ('LOAD_FAST', 'LOAD_CONST')
70574807: ('LOAD_FAST', 'STORE_ATTR')
65604019: ('LOAD_METHOD', 'LOAD_FAST')
60714582: ('LOAD_FAST', 'CALL_METHOD')
58995079: ('EXTENDED_ARG', 'POP_JUMP_IF_FALSE')
58558698: ('LOAD_FAST', 'LOAD_METHOD')
54615205: ('LOAD_FAST', 'BINARY_SUBSCR')
48951006: ('STORE_ATTR', 'LOAD_FAST')
44145119: ('LOAD_ATTR', 'STORE_FAST')
37803324: ('LOAD_CONST', 'COMPARE_OP')
35097380: ('LOAD_FAST', 'UNARY_NEGATIVE')
33247985: ('CALL_METHOD', 'POP_TOP')
31262095: ('LOAD_ATTR', 'LOAD_FAST')
30760578: ('LOAD_FAST', 'POP_JUMP_IF_TRUE')
27375430: ('<0>', 'LOAD_FAST')
27083706: ('BINARY_SUBSCR', 'STORE_FAST')
26476241: ('CALL_METHOD', 'STORE_FAST')
26333264: ('LOAD_CONST', 'BUILD_SLICE')
26307417: ('COMPARE_OP', 'EXTENDED_ARG')
26174521: ('UNARY_NEGATIVE', 'LOAD_CONST')
25579362: ('LOAD_GLOBAL', 'LOAD_FAST')
24643601: ('<0>', 'LOAD_GLOBAL')
24100496: ('POP_JUMP_IF_TRUE', 'LOAD_FAST')
24069649: ('LOAD_GLOBAL', 'CALL_FUNCTION')
23949045: ('LOAD_CONST', 'BINARY_SUBSCR')
23557309: ('BINARY_SUBSCR', 'LOAD_FAST')
23154686: ('LOAD_CONST', 'RETURN_VALUE')
22113694: ('STORE_ATTR', 'LOAD_CONST')
21062777: ('POP_TOP', 'LOAD_FAST')
17649144: ('LOAD_CONST', 'STORE_SUBSCR')
17449681: ('BUILD_SLICE', 'DELETE_SUBSCR')
17449680: ('DELETE_SUBSCR', 'LOAD_FAST')
17384876: ('LOAD_FAST', 'CONTAINS_OP')
17256731: ('COMPARE_OP', 'POP_JUMP_IF_FALSE')
16352252: ('CALL_FUNCTION', 'STORE_FAST')
14495648: ('LOAD_ATTR', 'RETURN_VALUE')
14310099: ('JUMP_FORWARD', 'LOAD_FAST')
14131221: ('LOAD_CONST', 'IS_OP')
14092250: ('STORE_FAST', 'JUMP_FORWARD')
13167333: ('LOAD_FAST', 'LOAD_GLOBAL')
12934822: ('BINARY_SUBSCR', 'LOAD_ATTR')
12486103: ('CALL_METHOD', 'LOAD_FAST')
12289865: ('CALL_FUNCTION', 'POP_JUMP_IF_FALSE')
12281529: ('UNPACK_SEQUENCE', 'STORE_FAST')
12260877: ('LOAD_CONST', 'LOAD_FAST')
12197053: ('JUMP_ABSOLUTE', 'LOAD_FAST')
12018240: ('BINARY_SUBSCR', 'LOAD_METHOD')
11827300: ('IS_OP', 'EXTENDED_ARG')
11533099: ('CONTAINS_OP', 'EXTENDED_ARG')
10238892: ('STORE_FAST', 'LOAD_GLOBAL')
9319192: ('LOAD_FAST', 'EXTENDED_ARG')
9225431: ('FOR_ITER', 'UNPACK_SEQUENCE')
9220811: ('STORE_FAST', 'STORE_FAST')
9072756: ('LOAD_METHOD', 'CALL_METHOD')
9034100: ('BINARY_SUBSCR', 'STORE_ATTR')
8938510: ('SETUP_FINALLY', 'LOAD_FAST')
8924480: ('BINARY_SUBSCR', 'BINARY_SUBSCR')
8923321: ('POP_TOP', 'POP_BLOCK')
8922980: ('STORE_ATTR', 'SETUP_FINALLY')
8922907: ('POP_BLOCK', 'JUMP_ABSOLUTE')
8922860: ('UNARY_NEGATIVE', 'BINARY_SUBSCR')
8884778: ('BUILD_SLICE', 'BINARY_SUBSCR')
8834800: ('STORE_SUBSCR', 'LOAD_FAST')
8726260: ('LOAD_CONST', 'BINARY_SUBTRACT')
8725457: ('BINARY_SUBTRACT', 'LOAD_CONST')
7468359: ('LOAD_FAST', 'CALL_FUNCTION')
7231618: ('STORE_SUBSCR', 'LOAD_CONST')
6834582: ('JUMP_ABSOLUTE', 'FOR_ITER')
6770542: ('CALL_FUNCTION', 'RETURN_VALUE')
6316688: ('CONTAINS_OP', 'POP_JUMP_IF_FALSE')
6289832: ('LOAD_CONST', 'LOAD_CONST')
6092538: ('POP_JUMP_IF_TRUE', 'JUMP_ABSOLUTE')
6091666: ('BINARY_SUBSCR', 'LOAD_CONST')
5858215: ('LOAD_FAST', 'COMPARE_OP')
5743568: ('LOAD_ATTR', 'LOAD_METHOD')
4797121: ('LOAD_ATTR', 'CALL_FUNCTION')
4537263: ('GET_ITER', 'FOR_ITER')
4095193: ('LOAD_CONST', 'CALL_FUNCTION')
4056643: ('LOAD_ATTR', 'LOAD_ATTR')
3826194: ('LOAD_CONST', 'CALL_METHOD')
3402544: ('LOAD_ATTR', 'LOAD_CONST')
3332616: ('POP_JUMP_IF_TRUE', 'LOAD_GLOBAL')
3320558: ('POP_TOP', 'LOAD_CONST')
3287342: ('LOAD_ATTR', 'GET_ITER')
3259661: ('LOAD_GLOBAL', 'LOAD_ATTR')
3161826: ('STORE_FAST', 'JUMP_ABSOLUTE')
3119912: ('LOAD_CONST', 'STORE_FAST')
3095731: ('LOAD_FAST', 'STORE_FAST')
3063169: ('BINARY_SUBSCR', 'UNPACK_SEQUENCE')
3043492: ('POP_TOP', 'RETURN_VALUE')
