13521235: ('LOAD_FAST', 'LOAD_ATTR')
10569297: ('LOAD_FAST', 'LOAD_FAST')
8804211: ('POP_JUMP_IF_FALSE', 'LOAD_FAST')
8573275: ('STORE_FAST', 'LOAD_FAST')
6874326: ('LOAD_FAST', 'LOAD_CONST')
6434717: ('LOAD_METHOD', 'LOAD_FAST')
6273564: ('LOAD_GLOBAL', 'LOAD_FAST')
5357587: ('<0>', 'LOAD_FAST')
5143347: ('LOAD_FAST', 'CALL_METHOD')
4422939: ('LOAD_FAST', 'LOAD_METHOD')
4163469: ('LOAD_ATTR', 'LOAD_FAST')
4106720: ('LOAD_CONST', 'RETURN_VALUE')
3615316: ('LOAD_GLOBAL', 'LOAD_ATTR')
3577052: ('FOR_ITER', 'STORE_FAST')
3537275: ('LOAD_FAST', 'CALL_FUNCTION')
3424029: ('LOAD_FAST', 'LOAD_GLOBAL')
3390730: ('LOAD_FAST', 'STORE_ATTR')
3383397: ('LOAD_CONST', 'IS_OP')
3191261: ('CALL_FUNCTION', 'POP_JUMP_IF_FALSE')
3118039: ('IS_OP', 'POP_JUMP_IF_FALSE')
2953395: ('JUMP_ABSOLUTE', 'FOR_ITER')
2912854: ('<0>', 'LOAD_GLOBAL')
2826371: ('COMPARE_OP', 'POP_JUMP_IF_FALSE')
2623229: ('LOAD_METHOD', 'CALL_METHOD')
2457113: ('STORE_FAST', 'STORE_FAST')
2287890: ('CALL_METHOD', 'POP_TOP')
2251452: ('LOAD_CONST', 'LOAD_FAST')
2132792: ('LOAD_ATTR', 'LOAD_METHOD')
2125159: ('LOAD_GLOBAL', 'LOAD_METHOD')
2114704: ('CALL_METHOD', 'STORE_FAST')
2069301: ('POP_JUMP_IF_FALSE', 'LOAD_GLOBAL')
2004164: ('LOAD_ATTR', 'LOAD_CONST')
1936734: ('GET_ITER', 'FOR_ITER')
1915897: ('POP_JUMP_IF_TRUE', 'LOAD_FAST')
1836945: ('UNPACK_SEQUENCE', 'STORE_FAST')
1800464: ('LOAD_ATTR', 'CALL_FUNCTION')
1755719: ('STORE_FAST', 'LOAD_GLOBAL')
1638886: ('POP_JUMP_IF_FALSE', 'FOR_ITER')
1557838: ('LOAD_FAST', 'COMPARE_OP')
1538746: ('POP_TOP', 'JUMP_ABSOLUTE')
1535066: ('CALL_METHOD', 'RETURN_VALUE')
1492099: ('LOAD_CONST', 'LOAD_CONST')
1444370: ('FOR_ITER', 'UNPACK_SEQUENCE')
1396469: ('STORE_ATTR', 'LOAD_FAST')
1374034: ('STORE_ATTR', 'LOAD_CONST')
1371475: ('LOAD_FAST', 'POP_JUMP_IF_FALSE')
1334903: ('POP_JUMP_IF_FALSE', 'LOAD_CONST')
1316876: ('EXTENDED_ARG', 'POP_JUMP_IF_FALSE')
1313370: ('LOAD_CONST', 'COMPARE_OP')
1292409: ('CALL_FUNCTION', 'STORE_FAST')
1284980: ('LOAD_CONST', 'BINARY_SUBSCR')
1280683: ('CONTAINS_OP', 'POP_JUMP_IF_FALSE')
1202762: ('POP_TOP', 'LOAD_CONST')
1198758: ('<0>', 'POP_TOP')
1165969: ('LOAD_GLOBAL', 'CALL_FUNCTION')
1107317: ('LOAD_FAST', 'BINARY_SUBSCR')
1099421: ('LOAD_FAST', 'RETURN_VALUE')
1050284: ('GET_YIELD_FROM_ITER', 'LOAD_CONST')
1050284: ('LOAD_CONST', 'YIELD_FROM')
1027023: ('LOAD_FAST', 'GET_ITER')
1005123: ('YIELD_FROM', 'POP_TOP')
971259: ('BUILD_MAP', 'LOAD_FAST')
964152: ('LOAD_ATTR', 'STORE_FAST')
960062: ('LOAD_ATTR', 'POP_JUMP_IF_FALSE')
949431: ('POP_TOP', 'LOAD_FAST')
932652: ('LOAD_ATTR', 'LOAD_GLOBAL')
920957: ('LOAD_FAST', 'BUILD_TUPLE')
903376: ('LOAD_FAST', 'POP_JUMP_IF_TRUE')
895257: ('CALL_FUNCTION', 'RETURN_VALUE')
870282: ('LOAD_GLOBAL', 'LOAD_GLOBAL')
861332: ('LIST_APPEND', 'JUMP_ABSOLUTE')
849098: ('<0>', 'BUILD_LIST')
840312: ('POP_TOP', 'LOAD_GLOBAL')
834501: ('BUILD_LIST', 'LOAD_FAST')
821046: ('LOAD_CONST', 'MAKE_FUNCTION')
805606: ('CALL_METHOD', 'GET_ITER')
783223: ('GET_ITER', 'CALL_FUNCTION')
783222: ('LOAD_FAST', 'FOR_ITER')
765533: ('BINARY_SUBSCR', 'LOAD_CONST')
760647: ('FOR_ITER', 'LOAD_CONST')
757863: ('LOAD_ATTR', 'COMPARE_OP')
