29809974: ('STORE_FAST', 'LOAD_FAST')
29210715: ('LOAD_FAST', 'LOAD_FAST')
23606549: ('LOAD_FAST', 'LOAD_METHOD')
23307989: ('LOAD_FAST', 'LOAD_ATTR')
21104502: ('LOAD_CONST', 'RETURN_VALUE')
21004035: ('LOAD_METHOD', 'LOAD_FAST')
20203333: ('CALL_METHOD', 'POP_TOP')
19808500: ('POP_JUMP_IF_FALSE', 'LOAD_FAST')
19203204: ('<0>', 'LOAD_FAST')
17403329: ('COMPARE_OP', 'POP_JUMP_IF_FALSE')
17003472: ('LOAD_FAST', 'CALL_METHOD')
14400874: ('LOAD_ATTR', 'LOAD_METHOD')
12903189: ('LOAD_METHOD', 'CALL_METHOD')
12604059: ('LOAD_FAST', 'CALL_FUNCTION')
12302099: ('CALL_METHOD', 'STORE_FAST')
11901107: ('POP_TOP', 'LOAD_CONST')
11307894: ('LOAD_FAST', 'LOAD_CONST')
10608712: ('LOAD_GLOBAL', 'LOAD_FAST')
10606050: ('<0>', 'LOAD_GLOBAL')
10503358: ('LOAD_CONST', 'LOAD_FAST')
9704356: ('LOAD_GLOBAL', 'LOAD_ATTR')
9102680: ('CALL_FUNCTION', 'STORE_FAST')
9002621: ('STORE_FAST', 'LOAD_GLOBAL')
8303614: ('LOAD_FAST', 'STORE_ATTR')
8201814: ('LOAD_FAST', 'COMPARE_OP')
8101847: ('POP_TOP', 'LOAD_FAST')
7601266: ('LOAD_FAST', 'RETURN_VALUE')
7401191: ('LOAD_CONST', 'STORE_FAST')
7100611: ('<0>', 'LOAD_CONST')
6702380: ('LOAD_CONST', 'COMPARE_OP')
6602019: ('LOAD_METHOD', 'LOAD_CONST')
6600086: ('INPLACE_ADD', 'STORE_FAST')
6600022: ('LOAD_FAST', 'INPLACE_ADD')
6505000: ('LOAD_GLOBAL', 'LOAD_METHOD')
6001415: ('LOAD_GLOBAL', 'LOAD_CONST')
5904027: ('IS_OP', 'POP_JUMP_IF_FALSE')
